Vx;Vy;Vz
-0.0780;-0.0353;0.9963
0.0190;-0.0897;0.9958
-0.0934;0.0082;0.9956
0.0162;-0.0567;0.9983
0.0690;-0.0821;0.9942
0.0736;-0.0757;0.9944
0.0693;-0.0685;0.9952
-0.0752;0.0414;0.9963
0.0001;-0.0017;1.0000
-0.0143;0.0080;0.9999
0.0067;-0.0027;1.0000
-0.0424;0.0278;0.9987
-0.0574;0.0388;0.9976
-0.0384;0.0315;0.9988
-0.0701;0.0496;0.9963
0.0291;-0.0062;0.9996
0.0368;-0.0091;0.9993
-0.0931;0.0678;0.9933
0.0385;-0.0036;0.9993
0.0594;-0.0063;0.9982
0.0731;-0.0103;0.9973
-0.0399;0.0616;0.9973
-0.0750;0.0867;0.9934
0.0056;0.0603;0.9982
0.0158;0.0945;0.9954
0.0943;0.0910;0.9914
